user_name,location
user-1,location-1
user-2,location-1
user-3,location-1
user-4,location-1
user-5,location-1
user-6,location-1
user-7,location-1
user-8,location-1
user-9,location-2
user-10,location-3
user-11,location-3
user-12,location-1
user-13,location-1
user-14,location-4
user-15,location-1
user-16,location-1
user-17,location-3
user-18,location-1
user-19,location-5
user-20,location-3
user-21,location-6
user-22,location-3
user-23,location-7
user-24,location-7
user-25,location-3
user-26,location-3
user-27,location-5
user-28,location-8
user-29,location-1
user-30,location-1
user-31,location-8
user-32,location-1
user-33,location-7
user-34,location-1
user-35,location-1
user-36,location-1
user-37,location-8
user-38,location-1
user-39,location-1
user-40,location-1
user-41,location-1
user-42,location-1
user-43,location-1
user-44,location-3
user-45,location-3
user-46,location-7
user-47,location-3
user-48,location-3
user-49,location-7
user-50,location-3
user-51,location-7
user-52,location-7
user-53,location-7
user-54,location-1
user-55,location-9
user-56,location-9
user-57,location-1
user-58,location-1
user-59,location-1
user-60,location-1
user-61,location-3
user-62,location-1
user-63,location-1
user-64,location-10
user-65,location-11
user-66,location-1
user-67,location-1
user-68,location-1
user-69,location-3
user-70,location-7
user-71,location-1
user-72,location-1
user-73,location-12
user-74,location-1
user-75,location-1
user-76,location-1
user-77,location-1
user-78,location-7
user-79,location-7
user-80,location-5
user-81,location-6
user-82,location-6
user-83,location-6
user-84,location-13
user-85,location-6
user-86,location-6
user-87,location-12
user-88,location-3
user-89,location-1
user-90,location-3
user-91,location-14
user-92,location-7
user-93,location-3
user-94,location-3
user-95,location-7
user-96,location-1
user-97,location-8
user-98,location-8
user-99,location-8
user-100,location-8
user-101,location-13
user-102,location-3
user-103,location-7
user-104,location-1
user-105,location-1
user-106,location-15
user-107,location-1
user-108,location-1
user-109,location-3
user-110,location-6
user-111,location-12
user-112,location-11
user-113,location-8
user-114,location-3
user-115,location-8
user-116,location-8
user-117,location-6
user-118,location-3
user-119,location-3
user-120,location-3
user-121,location-7
user-122,location-3
user-123,location-16
user-124,location-1
user-125,location-3
user-126,location-2
user-127,location-3
user-128,location-1
user-129,location-1
user-130,location-5
user-131,location-7
user-132,location-7
user-133,location-7
user-134,location-7
user-135,location-3
user-136,location-7
user-137,location-3
user-138,location-13
user-139,location-13
user-140,location-12
user-141,location-7
user-142,location-12
user-143,location-1
user-144,location-6
user-145,location-6
user-146,location-6
user-147,location-3
user-148,location-1
user-149,location-17
user-150,location-1
user-151,location-1
user-152,location-1
user-153,location-1
user-154,location-9
user-155,location-1
user-156,location-1
user-157,location-15
user-158,location-6
user-159,location-3
user-160,location-7
user-161,location-7
user-162,location-6
user-163,location-3
user-164,location-6
user-165,location-7
user-166,location-7
user-167,location-1
user-168,location-1
user-169,location-1
user-170,location-6
user-171,location-1
user-172,location-6
user-173,location-3
user-174,location-3
user-175,location-5
user-176,location-1
user-177,location-1
user-178,location-6
user-179,location-8
user-180,location-1
user-181,location-3
user-182,location-13
user-183,location-8
user-184,location-8
user-185,location-8
user-186,location-1
user-187,location-8
user-188,location-18
user-189,#N/A
user-190,#N/A
user-191,location-1
