iam_role_name,application
role-1,app-1
role-2,app-2
role-3,app-3
role-4,app-4
role-5,app-3
role-6,app-5
role-7,app-3
role-8,app-1
role-9,app-2
role-10,app-4
role-11,app-1
role-12,app-3
role-13,app-1
role-14,app-2
role-15,app-2
role-16,app-2
role-17,app-3
role-18,app-5
role-19,app-3
role-20,app-1
role-21,app-4
role-22,app-3
role-23,app-4
role-24,app-5
role-25,app-5
role-26,app-4
role-27,app-5
role-28,app-4
role-29,app-5
role-30,app-3
role-31,app-3
role-32,app-4
role-33,app-2
role-34,app-5
role-35,app-4
role-36,app-2
role-37,app-3
role-38,app-2
role-39,app-3
role-40,app-4
role-41,app-1
role-42,app-3
role-43,app-5
role-44,app-3
role-45,app-4
role-46,app-1
role-47,app-3
role-48,app-5
role-49,app-5
role-50,app-3
role-51,app-4
role-52,app-4
role-53,app-3
role-54,app-4
role-55,app-5
role-56,app-6
role-57,app-6
role-58,app-4
role-59,app-3
role-60,app-1
role-61,app-3
role-62,app-1
role-63,app-7
role-64,app-8
role-65,app-7
role-66,app-1
role-67,app-4
role-68,app-3
role-69,app-5
role-70,app-4
role-71,app-4
role-72,app-4
role-73,app-3
role-74,app-4
role-75,app-3
role-76,app-2
role-77,app-1
role-78,app-9
role-79,app-3
role-80,app-10
role-81,app-10
role-82,app-11
role-83,app-12
role-84,app-12
role-85,app-10
role-86,app-11
role-87,app-12
role-88,app-10
role-89,app-10
role-90,app-2
role-91,app-1
role-92,app-1
role-93,app-3
role-94,app-1
role-95,app-3
role-96,app-1
role-97,app-3
role-98,app-3
role-99,app-1
role-100,app-1
role-101,app-2
role-102,app-2
role-103,app-3
role-104,app-1
role-105,app-5
role-106,app-3
role-107,app-4
role-108,app-3
role-109,app-5
role-110,app-4
role-111,app-1
role-112,app-3
role-113,app-5
role-114,app-1
role-115,app-4
role-116,app-1
role-117,app-5
role-118,app-4
role-119,app-3
role-120,app-4
role-121,app-3
role-122,app-1
role-123,app-5
role-124,app-4
role-125,app-3
