iam_role_name,role_owner
role-1,user-2886
role-2,#N/A
role-2,user-5147
role-3,user-635
role-3,#N/A
role-3,user-1988
role-3,user-6737
role-4,#N/A
role-4,user-1988
role-4,user-6737
role-5,#N/A
role-6,#N/A
role-7,user-2506
role-7,user-3403
role-7,user-3592
role-7,user-1737
role-8,user-1294
role-8,user-1966
role-9,#N/A
role-10,user-2886
role-11,user-39
role-11,user-5525
role-12,user-2682
role-12,#N/A
role-12,user-3403
role-13,user-156
role-13,user-96
role-14,user-784
role-14,user-5340
role-15,user-784
role-15,user-5340
role-16,user-2682
role-16,user-5157
role-16,#N/A
role-16,user-3403
role-16,user-1737
role-17,user-5786
role-17,user-6646
role-17,user-114
role-18,user-156
role-18,user-3009
role-19,#N/A
role-20,user-2506
role-20,user-3403
role-20,user-3592
role-20,user-1737
role-21,user-2682
role-22,user-1737
role-22,user-60
role-23,user-156
role-23,user-96
role-23,user-1737
role-24,user-156
role-24,user-96
role-24,user-1737
role-25,user-156
role-26,user-2506
role-26,user-3403
role-26,user-3592
role-26,user-1737
role-27,#N/A
role-28,#N/A
role-29,#N/A
role-30,#N/A
role-30,user-3251
role-31,#N/A
role-31,user-3251
role-31,user-5631
role-32,user-1380
role-32,user-33
role-33,user-1380
role-33,user-33
role-34,user-5786
role-34,user-114
role-35,user-2572
role-35,user-410
role-36,#N/A
role-37,user-5786
role-37,user-114
role-38,user-114
role-38,user-60
role-38,user-1737
role-38,user-3083
role-38,user-6646
role-39,#N/A
role-40,user-607
role-41,user-607
role-42,user-607
role-43,user-607
role-44,user-607
role-45,user-607
role-46,user-607
role-47,user-607
role-48,user-607
role-49,user-607
role-50,user-6841
role-50,user-5015
role-51,user-4987
role-51,#N/A
role-52,#N/A
role-52,user-4528
role-53,#N/A
role-53,user-4528
role-54,user-3940
role-54,user-2520
role-55,#N/A
role-56,#N/A
role-57,#N/A
role-58,#N/A
role-59,user-2506
role-59,user-3403
role-59,user-3592
role-59,user-1737
role-60,user-2506
role-60,user-3403
role-60,user-3592
role-60,user-1737
role-61,user-2506
role-61,user-3403
role-61,user-3592
role-61,user-1737
role-62,user-2506
role-62,user-3403
role-62,user-3592
role-62,user-1737
role-63,user-2506
role-63,user-2682
role-64,user-2506
role-64,user-3403
role-64,user-3592
role-64,user-1737
role-65,#N/A
role-66,#N/A
role-67,#N/A
role-67,user-6884
role-68,#N/A
role-68,user-6884
role-69,#N/A
role-69,user-6884
role-70,#N/A
role-70,user-6884
role-71,#N/A
role-71,user-6884
role-72,#N/A
role-72,user-6884
role-73,#N/A
role-74,#N/A
role-74,user-6884
role-75,#N/A
role-75,user-6884
role-76,#N/A
role-76,user-6884
role-77,#N/A
role-78,#N/A
role-79,#N/A
role-80,user-2682
role-80,user-3403
role-80,user-3592
role-80,user-1737
role-81,user-2506
role-81,user-3403
role-81,user-3592
role-81,user-1737
role-82,user-3950
role-82,user-5792
role-82,user-1853
role-83,#N/A
role-84,#N/A
role-85,user-2830
role-85,#N/A
role-86,#N/A
role-87,#N/A
role-87,user-490
role-88,user-5954
role-89,#N/A
role-90,#N/A
role-91,user-5954
role-91,user-5484
role-92,user-6839
role-92,#N/A
role-93,user-6839
role-93,#N/A
role-94,#N/A
role-95,#N/A
role-96,#N/A
role-97,#N/A
role-98,#N/A
role-98,user-4696
role-99,#N/A
role-99,user-4696
role-100,#N/A
role-101,#N/A
role-102,user-3139
role-102,user-634
role-103,user-4948
role-103,user-66
role-104,user-3139
role-104,user-4326
role-104,user-2543
role-105,user-3139
role-105,user-3365
role-106,#N/A
role-107,#N/A
role-107,user-7096
role-108,user-1294
role-108,user-5821
role-109,user-5495
role-109,#N/A
role-110,user-5495
role-110,#N/A
role-111,#N/A
role-111,user-7160
role-111,user-6626
role-111,user-6884
role-112,user-5998
role-112,#N/A
role-112,user-7160
role-112,user-6626
role-112,user-6884
role-113,#N/A
role-114,user-2543
role-114,user-3365
role-114,user-634
role-114,user-4326
role-115,#N/A
role-116,user-4326
role-116,user-3552
role-117,#N/A
role-118,#N/A
role-118,user-3365
role-118,user-634
role-118,user-4326
role-118,user-2543
role-119,user-6839
role-119,#N/A
role-120,user-777
role-120,user-931
role-121,user-2102
role-122,user-3871
role-122,user-2455
role-122,#N/A
role-123,user-5670
role-123,user-2455
role-124,user-3871
role-124,user-2455
role-125,user-4724
role-125,user-2455
role-125,user-5670
role-126,user-4724
role-126,user-2455
role-126,user-5670
role-127,user-4724
role-127,user-2455
role-127,user-5670
role-128,user-3871
role-128,user-2455
role-129,#N/A
role-129,user-2455
role-130,#N/A
role-130,user-2455
role-131,user-5670
role-131,user-2455
role-132,user-5670
role-132,user-2455
role-133,user-5670
role-133,user-2455
role-134,user-5670
role-134,user-2455
role-135,user-5670
role-135,user-2455
role-136,#N/A
role-136,user-2455
role-137,user-5670
role-137,user-2455
role-138,#N/A
role-138,user-2455
role-139,user-5670
role-139,user-2455
role-140,user-4724
role-140,user-5670
role-141,#N/A
role-142,#N/A
role-143,user-3552
role-143,user-5670
role-144,user-3139
role-144,user-3365
role-145,user-6839
role-145,#N/A
role-146,user-4326
role-146,user-3365
role-147,user-3139
role-147,user-2629
role-147,user-3543
role-147,user-3552
role-147,user-4326
role-148,user-3552
role-148,user-2629
role-148,user-3543
role-149,user-3552
role-149,user-2629
role-149,user-3543
role-150,user-3552
role-150,user-2629
role-150,user-3543
role-151,user-3552
role-151,user-2629
role-151,user-3543
role-152,user-3552
role-152,user-2629
role-152,user-3543
role-153,user-3552
role-153,user-2629
role-153,user-3543
role-154,user-3552
role-154,user-2629
role-154,user-3543
role-155,user-3552
role-155,user-2629
role-155,user-3543
role-156,user-3552
role-156,user-2629
role-156,user-3543
role-157,user-3552
role-157,user-2629
role-157,user-3543
role-158,user-3552
role-158,user-2629
role-158,user-3543
role-159,user-3552
role-159,user-2629
role-159,user-3543
role-160,#N/A
role-161,user-4677
role-161,user-5654
role-162,user-4133
role-163,user-4326
role-163,user-634
role-164,#N/A
role-164,user-5654
role-164,user-4677
role-165,#N/A
role-166,user-1050
role-166,user-2092
role-167,user-6839
role-167,#N/A
role-168,user-3552
role-168,user-5670
role-169,user-3552
role-169,user-5670
role-170,user-4677
role-170,user-4133
role-171,#N/A
role-172,user-5954
role-172,user-2715
role-172,user-5484
role-173,user-5484
role-173,#N/A
role-173,user-2715
role-174,user-5484
role-174,#N/A
role-175,user-5484
role-175,user-2715
role-176,user-5954
role-176,#N/A
role-176,user-5484
role-177,user-5954
role-177,user-2715
role-177,user-5484
role-178,user-5484
role-178,#N/A
role-179,user-4191
role-179,user-4801
role-180,#N/A
role-181,user-6839
role-181,user-4296
role-182,user-6839
role-182,#N/A
role-183,user-6839
role-183,#N/A
role-184,#N/A
role-184,user-2784
role-185,user-1349
role-185,user-4954
role-186,#N/A
role-186,user-6844
role-187,user-5484
role-187,#N/A
role-188,#N/A
role-189,user-6839
role-189,#N/A
role-190,#N/A
role-191,#N/A
role-192,#N/A
role-193,user-1817
role-193,#N/A
role-194,user-4987
role-194,#N/A
role-195,user-5954
role-195,#N/A
role-196,user-3940
role-196,user-3938
role-197,user-2082
role-197,#N/A
role-197,user-6895
role-197,user-4988
role-198,#N/A
role-198,user-5789
role-199,user-5484
role-199,#N/A
role-200,#N/A
role-200,user-6844
role-201,#N/A
role-201,user-6844
role-202,#N/A
role-203,user-6967
role-203,user-1858
role-204,#N/A
role-205,#N/A
role-206,#N/A
role-207,#N/A
role-208,#N/A
role-209,#N/A
role-210,user-2082
role-210,#N/A
role-210,user-6895
role-210,user-4988
role-211,user-6844
role-211,#N/A
role-212,user-3567
role-212,user-4309
role-213,#N/A
role-214,#N/A
role-215,#N/A
role-216,#N/A
role-216,user-4309
role-217,#N/A
role-218,#N/A
role-218,user-5642
role-219,#N/A
role-220,#N/A
role-221,user-5954
role-221,#N/A
role-221,user-2715
role-221,user-5484
role-222,user-6839
role-223,user-6839
role-223,#N/A
role-224,user-6839
role-224,#N/A
role-225,user-1173
role-226,#N/A
role-227,#N/A
role-228,#N/A
role-229,user-5954
role-229,user-5484
role-230,#N/A
role-231,#N/A
role-232,#N/A
role-233,user-6839
role-233,#N/A
role-234,#N/A
role-235,#N/A
role-236,user-3940
role-236,user-3938
role-237,user-2082
role-237,#N/A
role-237,user-6895
role-237,user-4988
role-238,user-6967
role-239,#N/A
role-240,#N/A
role-241,#N/A
role-242,#N/A
role-243,#N/A
role-244,#N/A
role-245,#N/A
role-246,#N/A
role-247,#N/A
role-248,#N/A
role-249,#N/A
role-250,#N/A
role-251,#N/A
role-252,#N/A
role-253,#N/A
role-254,#N/A
role-255,#N/A
role-256,#N/A
role-257,#N/A
role-258,#N/A
role-259,#N/A
role-260,#N/A
role-261,#N/A
role-262,#N/A
role-263,#N/A
role-264,#N/A
role-265,#N/A
role-266,#N/A
role-267,#N/A
role-268,#N/A
role-269,#N/A
role-270,#N/A
role-271,#N/A
role-272,#N/A
role-273,#N/A
role-274,#N/A
role-275,#N/A
role-276,#N/A
role-277,#N/A
role-278,#N/A
role-279,#N/A
role-280,#N/A
role-281,#N/A
role-282,#N/A
role-283,#N/A
role-284,#N/A
role-285,#N/A
role-286,#N/A
role-287,#N/A
role-288,#N/A
role-289,#N/A
role-290,#N/A
role-291,#N/A
role-292,#N/A
role-293,#N/A
role-294,#N/A
role-295,#N/A
role-296,#N/A
role-297,#N/A
role-298,#N/A
role-299,#N/A
role-300,#N/A
role-301,#N/A
role-302,#N/A
role-303,#N/A
role-304,#N/A
role-305,#N/A
role-306,#N/A
role-307,#N/A
role-308,#N/A
role-309,#N/A
role-310,#N/A
role-311,#N/A
role-312,#N/A
role-313,#N/A
role-314,#N/A
role-315,#N/A
role-316,#N/A
role-317,#N/A
role-318,#N/A
role-319,#N/A
role-320,#N/A
role-321,#N/A
role-322,#N/A
role-323,#N/A
role-324,#N/A
role-325,#N/A
role-326,#N/A
role-327,#N/A
role-328,#N/A
role-329,#N/A
role-330,#N/A
role-331,#N/A
role-332,#N/A
role-333,#N/A
role-333,user-6978
role-334,#N/A
role-334,user-6978
role-335,#N/A
role-335,user-6978
role-336,#N/A
role-336,user-6978
role-337,#N/A
role-337,user-6978
role-338,#N/A
role-338,user-6978
role-339,#N/A
role-339,user-6978
role-340,#N/A
role-340,user-6978
role-341,#N/A
role-342,#N/A
role-343,#N/A
role-344,#N/A
role-345,#N/A
role-346,#N/A
role-347,#N/A
