iam_role_name,role_subscriber
role-1,user-3348
role-1,user-3031
role-1,#N/A
role-1,user-2206
role-1,user-2444
role-1,user-744
role-1,user-5786
role-2,#N/A
role-2,user-5147
role-2,user-1062
role-2,user-3110
role-3,#N/A
role-3,user-5157
role-3,user-1725
role-3,user-3009
role-3,user-1785
role-3,user-5759
role-3,user-5258
role-3,user-2682
role-4,user-5656
role-4,#N/A
role-4,user-5823
role-4,user-1910
role-4,user-3004
role-4,user-5822
role-4,user-6134
role-4,user-1186
role-4,user-1343
role-4,user-97
role-4,user-204
role-4,user-5336
role-4,user-2395
role-4,user-6131
role-4,user-1233
role-4,user-179
role-4,user-100
role-5,#N/A
role-6,#N/A
role-6,user-5609
role-6,user-5685
role-6,user-5418
role-6,user-4971
role-6,user-6263
role-6,user-5305
role-6,user-2581
role-6,user-3515
role-6,user-6124
role-6,user-5836
role-7,#N/A
role-7,user-1288
role-7,user-4370
role-7,user-480
role-7,user-312
role-8,#N/A
role-9,#N/A
role-9,user-1273
role-9,user-3180
role-9,user-4467
role-9,user-972
role-9,user-39
role-9,user-3239
role-9,user-860
role-9,user-4810
role-9,user-2682
role-9,user-738
role-9,user-2152
role-10,user-4111
role-10,user-3120
role-10,user-590
role-10,user-2475
role-10,user-1978
role-10,user-5789
role-10,user-1634
role-10,#N/A
role-10,user-3930
role-10,user-1158
role-10,user-4373
role-10,user-2741
role-10,user-3677
role-10,user-2480
role-10,user-2055
role-10,user-1204
role-10,user-1312
role-10,user-689
role-10,user-1173
role-10,user-6581
role-11,user-2152
role-11,#N/A
role-11,user-5916
role-11,user-5926
role-11,user-5909
role-11,user-5942
role-11,user-5923
role-11,user-6144
role-11,user-5444
role-11,user-5316
role-11,user-1006
role-11,user-1117
role-11,user-3536
role-11,user-5006
role-11,user-5036
role-11,user-2654
role-11,user-1273
role-11,user-3180
role-11,user-5594
role-11,user-4467
role-11,user-972
role-11,user-74
role-11,user-3070
role-11,user-39
role-12,user-3793
role-12,user-1341
role-12,user-3390
role-12,user-4908
role-12,user-52
role-12,user-1153
role-12,#N/A
role-12,user-1495
role-12,user-1326
role-12,user-1452
role-12,user-2957
role-12,user-1386
role-12,user-924
role-12,user-3935
role-12,user-46
role-12,user-5099
role-12,user-158
role-12,user-336
role-12,user-2868
role-12,user-141
role-12,user-837
role-12,user-1938
role-12,user-3009
role-12,user-44
role-12,user-2624
role-12,user-5339
role-12,user-2016
role-12,user-120
role-12,user-2538
role-12,user-1088
role-12,user-1752
role-12,user-75
role-12,user-827
role-12,user-957
role-12,user-1948
role-12,user-1747
role-12,user-4810
role-12,user-402
role-12,user-4141
role-12,user-1401
role-12,user-1155
role-13,user-177
role-13,#N/A
role-13,user-6208
role-13,user-5899
role-13,user-6320
role-13,user-6024
role-13,user-5882
role-13,user-6172
role-13,user-2410
role-13,user-6169
role-13,user-1388
role-13,user-3908
role-13,user-5678
role-13,user-1092
role-13,user-3497
role-13,user-3916
role-13,user-5620
role-13,user-5887
role-13,user-4200
role-13,user-2325
role-13,user-4908
role-13,user-5868
role-13,user-4669
role-13,user-2801
role-13,user-5645
role-13,user-1725
role-13,user-96
role-13,user-3733
role-13,user-743
role-13,user-3662
role-13,user-225
role-13,user-5708
role-13,user-2311
role-13,user-2016
role-13,user-2802
role-13,user-312
role-13,user-712
role-13,user-205
role-13,user-3031
role-13,user-1215
role-13,user-3592
role-13,user-60
role-13,user-1948
role-13,user-38
role-13,user-1278
role-13,user-66
role-13,user-541
role-14,#N/A
role-14,user-5964
role-14,user-3809
role-14,user-406
role-14,user-916
role-14,user-488
role-14,user-1441
role-14,user-4027
role-14,user-3563
role-14,user-5179
role-14,user-1236
role-14,user-429
role-14,user-467
role-14,user-212
role-14,user-1191
role-14,user-1064
role-14,user-1310
role-15,user-2682
role-15,user-5340
role-15,user-439
role-16,user-726
role-16,#N/A
role-16,user-6360
role-16,user-6370
role-16,user-6359
role-16,user-6368
role-16,user-6356
role-16,user-6337
role-16,user-6307
role-16,user-6336
role-16,user-6311
role-16,user-6264
role-16,user-6289
role-17,user-2506
role-17,#N/A
role-17,user-6345
role-17,user-6343
role-17,user-6208
role-17,user-5899
role-17,user-6320
role-17,user-6024
role-17,user-5882
role-17,user-6172
role-17,user-5650
role-17,user-5649
role-17,user-5999
role-17,user-5393
role-17,user-2410
role-17,user-3114
role-17,user-6169
role-17,user-1391
role-17,user-3908
role-17,user-3448
role-17,user-1092
role-17,user-3497
role-17,user-3916
role-17,user-5620
role-17,user-5887
role-17,user-4200
role-17,user-1341
role-17,user-3390
role-17,user-1896
role-17,user-2325
role-17,user-2170
role-17,user-4908
role-17,user-5868
role-18,user-2682
role-18,#N/A
role-18,user-5650
role-18,user-5393
role-18,user-1341
role-18,user-3390
role-18,user-5645
role-18,user-1725
role-18,user-3935
role-18,user-3009
role-18,user-2624
role-18,user-2016
role-18,user-312
role-18,user-38
role-18,user-1747
role-19,#N/A
role-19,user-1273
role-19,user-4467
role-19,user-39
role-19,user-2152
role-20,user-2506
role-20,user-3908
role-20,#N/A
role-20,user-5678
role-20,user-5386
role-20,user-1092
role-20,user-3497
role-20,user-1341
role-20,user-3390
role-20,user-2325
role-20,user-4908
role-20,user-5868
role-20,user-4669
role-20,user-2801
role-20,user-3662
role-20,user-225
role-20,user-3009
role-20,user-2624
role-20,user-2016
role-20,user-2802
role-20,user-3403
role-20,user-3592
role-20,user-1737
